 Both 128K ROMs loaded successfully!
Screen RAM initialized with white paper, black ink
=== Emulator started - ROM loaded - CPU Reset ===
[136] PC=0x0005 A=0x6B HL=0x0000 BC=0x6909 DE=0x0000 SP=0xFFFF OP=0x78
[137] PC=0x0006 A=0x69 HL=0x0000 BC=0x6909 DE=0x0000 SP=0xFFFF OP=0xB1
[138] PC=0x0007 A=0x69 HL=0x0000 BC=0x6909 DE=0x0000 SP=0xFFFF OP=0x20
[139] PC=0x0004 A=0x69 HL=0x0000 BC=0x6909 DE=0x0000 SP=0xFFFF OP=0x0B
[140] PC=0x0005 A=0x69 HL=0x0000 BC=0x6908 DE=0x0000 SP=0xFFFF OP=0x78
[141] PC=0x0006 A=0x69 HL=0x0000 BC=0x6908 DE=0x0000 SP=0xFFFF OP=0xB1
[142] PC=0x0007 A=0x69 HL=0x0000 BC=0x6908 DE=0x0000 SP=0xFFFF OP=0x20
[143] PC=0x0004 A=0x69 HL=0x0000 BC=0x6908 DE=0x0000 SP=0xFFFF OP=0x0B
[144] PC=0x0005 A=0x69 HL=0x0000 BC=0x6907 DE=0x0000 SP=0xFFFF OP=0x78
[145] PC=0x0006 A=0x69 HL=0x0000 BC=0x6907 DE=0x0000 SP=0xFFFF OP=0xB1
[146] PC=0x0007 A=0x6F HL=0x0000 BC=0x6907 DE=0x0000 SP=0xFFFF OP=0x20
[147] PC=0x0004 A=0x6F HL=0x0000 BC=0x6907 DE=0x0000 SP=0xFFFF OP=0x0B
[148] PC=0x0005 A=0x6F HL=0x0000 BC=0x6906 DE=0x0000 SP=0xFFFF OP=0x78
[149] PC=0x0006 A=0x69 HL=0x0000 BC=0x6906 DE=0x0000 SP=0xFFFF OP=0xB1
[150] PC=0x0007 A=0x6F HL=0x0000 BC=0x6906 DE=0x0000 SP=0xFFFF OP=0x20
[151] PC=0x0004 A=0x6F HL=0x0000 BC=0x6906 DE=0x0000 SP=0xFFFF OP=0x0B
[152] PC=0x0005 A=0x6F HL=0x0000 BC=0x6905 DE=0x0000 SP=0xFFFF OP=0x78
[153] PC=0x0006 A=0x69 HL=0x0000 BC=0x6905 DE=0x0000 SP=0xFFFF OP=0xB1
[154] PC=0x0007 A=0x6D HL=0x0000 BC=0x6905 DE=0x0000 SP=0xFFFF OP=0x20
[155] PC=0x0004 A=0x6D HL=0x0000 BC=0x6905 DE=0x0000 SP=0xFFFF OP=0x0B
[156] PC=0x0005 A=0x6D HL=0x0000 BC=0x6904 DE=0x0000 SP=0xFFFF OP=0x78
[157] PC=0x0006 A=0x69 HL=0x0000 BC=0x6904 DE=0x0000 SP=0xFFFF OP=0xB1
[158] PC=0x0007 A=0x6D HL=0x0000 BC=0x6904 DE=0x0000 SP=0xFFFF OP=0x20
[159] PC=0x0004 A=0x6D HL=0x0000 BC=0x6904 DE=0x0000 SP=0xFFFF OP=0x0B
[160] PC=0x0005 A=0x6D HL=0x0000 BC=0x6903 DE=0x0000 SP=0xFFFF OP=0x78
[161] PC=0x0006 A=0x69 HL=0x0000 BC=0x6903 DE=0x0000 SP=0xFFFF OP=0xB1
[162] PC=0x0007 A=0x6B HL=0x0000 BC=0x6903 DE=0x0000 SP=0xFFFF OP=0x20
[163] PC=0x0004 A=0x6B HL=0x0000 BC=0x6903 DE=0x0000 SP=0xFFFF OP=0x0B
[164] PC=0x0005 A=0x6B HL=0x0000 BC=0x6902 DE=0x0000 SP=0xFFFF OP=0x78
[165] PC=0x0006 A=0x69 HL=0x0000 BC=0x6902 DE=0x0000 SP=0xFFFF OP=0xB1
[166] PC=0x0007 A=0x6B HL=0x0000 BC=0x6902 DE=0x0000 SP=0xFFFF OP=0x20
[167] PC=0x0004 A=0x6B HL=0x0000 BC=0x6902 DE=0x0000 SP=0xFFFF OP=0x0B
[168] PC=0x0005 A=0x6B HL=0x0000 BC=0x6901 DE=0x0000 SP=0xFFFF OP=0x78
[169] PC=0x0006 A=0x69 HL=0x0000 BC=0x6901 DE=0x0000 SP=0xFFFF OP=0xB1
[170] PC=0x0007 A=0x69 HL=0x0000 BC=0x6901 DE=0x0000 SP=0xFFFF OP=0x20
[171] PC=0x0004 A=0x69 HL=0x0000 BC=0x6901 DE=0x0000 SP=0xFFFF OP=0x0B
[172] PC=0x0005 A=0x69 HL=0x0000 BC=0x6900 DE=0x0000 SP=0xFFFF OP=0x78
[173] PC=0x0006 A=0x69 HL=0x0000 BC=0x6900 DE=0x0000 SP=0xFFFF OP=0xB1
[174] PC=0x0007 A=0x69 HL=0x0000 BC=0x6900 DE=0x0000 SP=0xFFFF OP=0x20
[175] PC=0x0004 A=0x69 HL=0x0000 BC=0x6900 DE=0x0000 SP=0xFFFF OP=0x0B
[176] PC=0x0005 A=0x69 HL=0x0000 BC=0x68FF DE=0x0000 SP=0xFFFF OP=0x78
[177] PC=0x0006 A=0x68 HL=0x0000 BC=0x68FF DE=0x0000 SP=0xFFFF OP=0xB1
[178] PC=0x0007 A=0xFF HL=0x0000 BC=0x68FF DE=0x0000 SP=0xFFFF OP=0x20
[179] PC=0x0004 A=0xFF HL=0x0000 BC=0x68FF DE=0x0000 SP=0xFFFF OP=0x0B
[180] PC=0x0005 A=0xFF HL=0x0000 BC=0x68FE DE=0x0000 SP=0xFFFF OP=0x78
[181] PC=0x0006 A=0x68 HL=0x0000 BC=0x68FE DE=0x0000 SP=0xFFFF OP=0xB1
[182] PC=0x0007 A=0xFE HL=0x0000 BC=0x68FE DE=0x0000 SP=0xFFFF OP=0x20
[183] PC=0x0004 A=0xFE HL=0x0000 BC=0x68FE DE=0x0000 SP=0xFFFF OP=0x0B
[184] PC=0x0005 A=0xFE HL=0x0000 BC=0x68FD DE=0x0000 SP=0xFFFF OP=0x78
[185] PC=0x0006 A=0x68 HL=0x0000 BC=0x68FD DE=0x0000 SP=0xFFFF OP=0xB1
[186] PC=0x0007 A=0xFD HL=0x0000 BC=0x68FD DE=0x0000 SP=0xFFFF OP=0x20
[187] PC=0x0004 A=0xFD HL=0x0000 BC=0x68FD DE=0x0000 SP=0xFFFF OP=0x0B
[188] PC=0x0005 A=0xFD HL=0x0000 BC=0x68FC DE=0x0000 SP=0xFFFF OP=0x78
[189] PC=0x0006 A=0x68 HL=0x0000 BC=0x68FC DE=0x0000 SP=0xFFFF OP=0xB1
[190] PC=0x0007 A=0xFC HL=0x0000 BC=0x68FC DE=0x0000 SP=0xFFFF OP=0x20
[191] PC=0x0004 A=0xFC HL=0x0000 BC=0x68FC DE=0x0000 SP=0xFFFF OP=0x0B
[192] PC=0x0005 A=0xFC HL=0x0000 BC=0x68FB DE=0x0000 SP=0xFFFF OP=0x78
[193] PC=0x0006 A=0x68 HL=0x0000 BC=0x68FB DE=0x0000 SP=0xFFFF OP=0xB1
[194] PC=0x0007 A=0xFB HL=0x0000 BC=0x68FB DE=0x0000 SP=0xFFFF OP=0x20
[195] PC=0x0004 A=0xFB HL=0x0000 BC=0x68FB DE=0x0000 SP=0xFFFF OP=0x0B
